Report,Chapter,Last Name,First Name,CountIfs,Role,Gender,Country of Residence,Citizenship,Affiliation
WGI,Chapter 6: Short-lived climate forcers,BERNTSEN,Terje,1,LA,M,Norway,Norway,"University of Oslo, Norway"
WGI,Chapter 6: Short-lived climate forcers,COLLINS,William D.,1,LA,M,United States of America,USA,"Lawrence Berkeley Laboratory and University of California, Berkeley"
WGI,Chapter 6: Short-lived climate forcers,FUZZI,Sandro,1,LA,M,Italy,Italy,Institute of Atmospheric Sciences and Climate-National Research Council
WGI,Chapter 6: Short-lived climate forcers,GALLARDO KLENNER,Laura,1,LA,F,Chile,Chile,"University of Chile, Center for Climate and Resilience Research, Geophysics Department"
WGI,Chapter 6: Short-lived climate forcers,KIENDLER-SCHARR,Astrid,1,LA,F,Germany,Austria,IEK-8: Troposphere Forschungszentrum Jülich GmbH
WGI,Chapter 6: Short-lived climate forcers,KLIMONT,Zbigniew,1,LA,M,Austria,Poland,International Institute for Applied Systems Analysis (IIASA)
WGI,Chapter 6: Short-lived climate forcers,LIAO,Hong,1,LA,F,China,China,Nanjing University of Information Science & Technology
WGI,Chapter 6: Short-lived climate forcers,UNGER,Nadine,1,LA,F,United Kingdom (of Great Britain and Northern Ireland),UK,University of Exeter
WGI,Chapter 6: Short-lived climate forcers,ZANIS,Prodromos,1,LA,M,Greece,Greece,"Department of Meteorology and Climatology, School of Geology, Aristotle University of Thessaloniki"
WGI,Chapter 6: Short-lived climate forcers,KANAYA,Yugo,1,RE,M,Japan,Japan,Japan Agency for Marine-Earth Science and Technology (JAMSTEC)
WGI,Chapter 6: Short-lived climate forcers,PRATHER,Michael,1,RE,M,United States of America,USA,University of California Irvine
WGI,Chapter 6: Short-lived climate forcers,YASSAA,Noureddine,1,RE,M,Algeria,Algeria,"Ministry of Energy, Mines and Renewable Energy"
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",FORSTER,Piers,2,CLA,M,United Kingdom (of Great Britain and Northern Ireland),UK,University of Leeds
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",STORELVMO,Trude,1,CLA,F,Norway,Norway,University of Oslo
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",ARMOUR,Kyle,1,LA,M,United States of America,USA,"University of Washington, Seattle"
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",COLLINS,William,1,LA,M,United Kingdom (of Great Britain and Northern Ireland),UK,University of Reading
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",DUFRESNE,Jean-louis,1,LA,M,France,France,"LMD/IPSL , CNRS & UPMC"
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",FRAME,David,1,LA,M,New Zealand,New Zealand,Victoria University of Wellington
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",LUNT,Daniel,1,LA,M,United Kingdom (of Great Britain and Northern Ireland),UK,University of Bristol
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",MAURITSEN,Thorsten,1,LA,M,Germany,Denmark,Department for Meteorology at Stockholm University
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",PALMER,Matthew,1,LA,M,United Kingdom (of Great Britain and Northern Ireland),UK,Met Office Hadley Centre
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",WATANABE,Masahiro,1,LA,M,Japan,Japan,"Atmosphere and Ocean Research Institute, University of Tokyo"
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",WILD,Martin,1,LA,M,Switzerland,Switzerland,"ETH Zurich, Institute for Atmospheric and Climate Science"
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",ZHANG,Hua,1,LA,F,China,China,"National Climate Center, China Meteorological Administration"
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",COLMAN,Robert,1,RE,M,Australia,Australia,Australian Bureau of Meteorology
WGI,"Chapter 7: The Earth's energy budget, climate feedbacks, and climate sensitivity",MATTHEWS,H. Damon,1,RE,M,Canada,Canada,Concordia University
